Container_ID,Destination,Goods,Container_Length,Actual_Weight,Shipping_Company,Weight_Difference,Weight_Factor,Destination_Factor,Goods_Factor,Company_Factor,Risk_Score,Decision
C000111,Brazil,Garments,48,32998,Nippon Yusen Kaisha (NYK),348,0.8,0.052,0.17,0.029,0.391,Proceed to further inspection
C000112,Philippines,Electrical Cables,20,21729,Hamburg Süd,2,0.01,0.043,0.27,0.03,0.063,Store to ship
C000113,Pakistan,Solar Panels,48,32869,Iran Shipping Lines,219,0.6,0.06,0.24,0.07,0.322,Proceed to further inspection
C000114,Kenya,Fruits,45,29357,Star Container Services,307,0.8,0.049,0.15,0.065,0.391,Proceed to further inspection
C000115,United States,Glass,20,21642,Ocean Network Express (ONE),85,0.07,0.028,0.24,0.027,0.079,Store to ship
C000116,Germany,Lubricants,53,34155,Crowley Maritime,155,0.4,0.022,0.37,0.033,0.24,Store to ship
C000117,Malaysia,Semiconductors,48,32554,Sinokor Merchant Marine,96,0.07,0.073,0.32,0.036,0.106,Store to ship
C000118,United Arab Emirates,Textiles,53,33713,Hapag-Lloyd,287,0.6,0.045,0.2,0.028,0.307,Proceed to further inspection
C000119,Chile,Granite,45,28738,Unifeeder,312,0.8,0.039,0.29,0.034,0.406,Proceed to further inspection
C000120,Pakistan,Wheat,53,34135,Seaboard Marine,135,0.4,0.06,0.17,0.035,0.222,Store to ship
C000121,Oman,Lithium Batteries,53,34245,Black Sea Shipping,245,0.6,0.038,0.82,0.055,0.403,Proceed to further inspection
C000122,Peru,Wind Turbine Parts,53,33742,Bahri,258,0.6,0.041,0.31,0.037,0.324,Proceed to further inspection
C000123,United Arab Emirates,Paint,40,26948,OOCL,168,0.4,0.045,0.41,0.028,0.253,Store to ship
C000124,Argentina,Sand,40,26562,Baltic Shipping Company,218,0.6,0.05,0.42,0.041,0.344,Proceed to further inspection
C000125,Sweden,Semiconductors,40,26938,Star Container Services,158,0.4,0.02,0.32,0.065,0.235,Store to ship
C000126,Denmark,Coal,48,33004,Iran Shipping Lines,354,0.8,0.02,0.53,0.07,0.44,Proceed to further inspection
C000127,Chile,Dairy Products,40,26417,Mediterranean Shipping Company (MSC),363,0.8,0.039,0.2,0.026,0.391,Proceed to further inspection
C000128,Russia,Iron Ore,40,26664,Global Ocean Logistics,116,0.4,0.058,0.64,0.04,0.294,Store to ship
C000129,Argentina,Electrical Cables,53,33636,Iran Shipping Lines,364,0.8,0.05,0.27,0.07,0.41,Proceed to further inspection
C000130,Italy,Mobile Phones,53,34393,Crowley Maritime,393,0.8,0.026,0.27,0.033,0.399,Proceed to further inspection
C000131,Oman,Wind Turbine Parts,45,29143,Ocean Network Express (ONE),93,0.07,0.038,0.31,0.027,0.093,Store to ship
C000132,Indonesia,Leather Goods,20,21364,Res Trans-Logis,363,0.8,0.047,0.22,0.042,0.399,Proceed to further inspection
C000133,Italy,Coal,45,28991,Baltic Shipping Company,59,0.07,0.026,0.53,0.041,0.124,Store to ship
C000134,Morocco,Sugar,48,32324,PIL (Pacific International Lines),326,0.8,0.04,0.18,0.034,0.389,Proceed to further inspection
C000135,Portugal,Garments,48,32401,APL,249,0.6,0.025,0.17,0.031,0.296,Store to ship
C000136,Chile,Copper,53,34174,Iran Shipping Lines,174,0.4,0.039,0.35,0.07,0.246,Store to ship
C000137,Oman,Frozen Meat,53,34052,Evergreen Marine,52,0.07,0.038,0.24,0.029,0.082,Store to ship
C000138,Germany,Timber,40,26978,X-Press Feeders,198,0.4,0.022,0.29,0.036,0.228,Store to ship
C000139,South Korea,Fertilizer,48,32724,Bahri,74,0.07,0.028,0.46,0.037,0.114,Store to ship
C000140,Turkey,Steel Coils,53,33616,Sinokor Merchant Marine,384,0.8,0.055,0.4,0.036,0.428,Proceed to further inspection
C000141,South Africa,Solvents,53,34186,COSCO Shipping,186,0.4,0.046,0.78,0.032,0.311,Proceed to further inspection
C000142,Portugal,Heavy Machinery,20,21633,Sinokor Merchant Marine,94,0.07,0.025,0.49,0.036,0.117,Store to ship
C000143,New Zealand,Solar Panels,48,32975,Grimaldi Lines,325,0.8,0.021,0.24,0.033,0.392,Proceed to further inspection
C000144,Ukraine,Fertilizer,40,26756,Bahri,24,0.01,0.055,0.46,0.037,0.096,Store to ship
C000145,Germany,Tea,48,32463,Ocean Network Express (ONE),187,0.4,0.022,0.17,0.027,0.209,Store to ship
C000146,South Africa,Tea,53,34208,K Line,208,0.6,0.046,0.17,0.029,0.303,Proceed to further inspection
C000147,Qatar,Solvents,45,29375,Black Sea Shipping,325,0.8,0.035,0.78,0.055,0.482,Proceed to further inspection
C000148,United Arab Emirates,Industrial Tools,48,32713,COSCO Shipping,63,0.07,0.045,0.3,0.032,0.094,Store to ship
C000149,Belgium,Cotton,40,26696,Nippon Yusen Kaisha (NYK),84,0.07,0.023,0.18,0.029,0.068,Store to ship
C000150,Taiwan,Solar Panels,48,32928,Black Sea Shipping,278,0.6,0.032,0.24,0.055,0.312,Proceed to further inspection
C000151,South Africa,Cement,48,32285,Hapag-Lloyd,365,0.8,0.046,0.3,0.028,0.409,Proceed to further inspection
C000152,Netherlands,Medical Equipment,48,32908,Wan Hai Lines,258,0.6,0.021,0.23,0.032,0.304,Proceed to further inspection
C000153,United Kingdom,Steel Coils,20,22069,SITC International,342,0.8,0.025,0.4,0.038,0.419,Proceed to further inspection
C000154,South Korea,Plastic Granules,48,32388,Black Sea Shipping,262,0.6,0.028,0.39,0.055,0.333,Proceed to further inspection
C000155,United States,Computers,20,21821,Star Container Services,94,0.07,0.028,0.26,0.065,0.085,Store to ship
C000156,Belgium,Marble,45,29330,Hamburg Süd,280,0.6,0.023,0.28,0.03,0.313,Proceed to further inspection
C000157,Australia,Industrial Chemicals,53,33610,Matson Navigation,390,0.8,0.023,0.75,0.028,0.471,Proceed to further inspection
C000158,Nigeria,Sugar,45,29212,Global Ocean Logistics,162,0.4,0.065,0.18,0.04,0.225,Store to ship
C000159,Malaysia,Cement,40,27037,COSCO Shipping,257,0.6,0.073,0.3,0.032,0.332,Proceed to further inspection
C000160,Spain,Steel Coils,40,27012,Res Trans-Logis,232,0.6,0.027,0.4,0.042,0.334,Proceed to further inspection
C000161,Colombia,Scientific Instruments,20,21779,Ocean Network Express (ONE),52,0.07,0.043,0.25,0.027,0.085,Store to ship
C000162,Qatar,Aluminum,48,32303,Bahri,347,0.8,0.035,0.33,0.037,0.411,Proceed to further inspection
C000163,Spain,Furniture,45,29030,Hamburg Süd,20,0.01,0.027,0.21,0.03,0.048,Store to ship
C000164,Egypt,Solvents,45,29212,COSCO Shipping,162,0.4,0.044,0.78,0.032,0.31,Proceed to further inspection
C000165,Indonesia,Batteries,40,26885,Roy Shipping Agency,105,0.4,0.047,0.68,0.079,0.3,Proceed to further inspection
C000166,Indonesia,Frozen Meat,53,33663,Black Sea Shipping,337,0.8,0.047,0.24,0.055,0.403,Proceed to further inspection
C000167,Kenya,Solar Panels,20,21668,TS Lines,59,0.07,0.049,0.24,0.037,0.086,Store to ship
C000168,Morocco,Petroleum Products,20,21553,Star Container Services,174,0.4,0.04,0.84,0.065,0.321,Proceed to further inspection
C000169,Turkey,Computers,53,34086,Evergreen Marine,86,0.07,0.055,0.26,0.029,0.091,Store to ship
C000170,Australia,Leather Goods,48,32403,Matson Navigation,247,0.6,0.023,0.22,0.028,0.303,Proceed to further inspection
C000171,Denmark,Rice,40,26623,Hapag-Lloyd,157,0.4,0.02,0.38,0.028,0.24,Store to ship
C000172,Colombia,Wheat,20,21803,Res Trans-Logis,76,0.07,0.043,0.17,0.042,0.074,Store to ship
C000173,Canada,Paint,20,21769,Mitsui O.S.K. Lines (MOL),42,0.01,0.024,0.41,0.028,0.078,Store to ship
C000174,France,Machinery,45,29013,Seaboard Marine,37,0.01,0.024,0.34,0.035,0.068,Store to ship
C000175,Germany,Wind Turbine Parts,53,34029,SM Line,29,0.01,0.022,0.31,0.036,0.063,Store to ship
C000176,Belgium,Fertilizer,48,33002,Wan Hai Lines,352,0.8,0.023,0.46,0.032,0.427,Proceed to further inspection
C000177,Hong Kong,Fruits,40,27117,Sinokor Merchant Marine,337,0.8,0.03,0.15,0.036,0.382,Proceed to further inspection
C000178,Saudi Arabia,Sand,40,26949,Mediterranean Shipping Company (MSC),169,0.4,0.05,0.42,0.026,0.256,Store to ship
C000179,Oman,Marble,45,29213,Evergreen Marine,163,0.4,0.038,0.28,0.029,0.231,Store to ship
C000180,Italy,Medical Equipment,40,26546,Hyundai Merchant Marine (HMM),234,0.6,0.026,0.23,0.03,0.306,Proceed to further inspection
C000181,South Africa,Medical Equipment,40,27176,Crowley Maritime,396,0.8,0.046,0.23,0.033,0.399,Proceed to further inspection
C000182,Vietnam,Textiles,40,26673,ZIM Integrated Shipping Services,107,0.4,0.048,0.2,0.035,0.222,Store to ship
C000183,New Zealand,Fertilizer,20,22023,Mediterranean Shipping Company (MSC),296,0.6,0.021,0.46,0.026,0.339,Proceed to further inspection
C000184,Netherlands,Vaccines,20,21845,Maersk,118,0.4,0.021,0.19,0.025,0.211,Store to ship
C000185,Egypt,Vegetables,53,33616,Yang Ming Marine,384,0.8,0.044,0.14,0.031,0.384,Proceed to further inspection
C000186,Poland,Ceramics,40,26932,COSCO Shipping,152,0.4,0.029,0.25,0.032,0.224,Store to ship
C000187,Portugal,Copper,40,27149,Mitsui O.S.K. Lines (MOL),369,0.8,0.025,0.35,0.028,0.41,Proceed to further inspection
C000188,Sri Lanka,Coal,40,26633,Safmarine,147,0.4,0.075,0.53,0.035,0.282,Store to ship
C000189,Colombia,Fertilizer,53,33880,Nippon Yusen Kaisha (NYK),120,0.4,0.043,0.46,0.029,0.26,Store to ship
C000190,Qatar,Frozen Meat,45,29042,Res Trans-Logis,8,0.01,0.035,0.24,0.042,0.056,Store to ship
C000191,Egypt,Footwear,48,32754,Emirates Shipping Line,104,0.4,0.044,0.19,0.034,0.219,Store to ship
C000192,Qatar,Cement,20,21574,Iran Shipping Lines,153,0.4,0.035,0.3,0.07,0.237,Store to ship
C000193,South Korea,Computers,20,21836,Hapag-Lloyd,109,0.4,0.028,0.26,0.028,0.225,Store to ship
C000194,India,Garments,45,29277,Seaboard Marine,227,0.6,0.04,0.17,0.035,0.302,Proceed to further inspection
C000195,India,Pharmaceuticals,20,21638,SITC International,89,0.07,0.04,0.2,0.038,0.077,Store to ship
C000196,Sri Lanka,Copper,20,21890,Yang Ming Marine,163,0.4,0.075,0.35,0.031,0.254,Store to ship
C000197,United Kingdom,Frozen Meat,48,32873,Syrian Shipping Lines,223,0.6,0.025,0.24,0.075,0.311,Proceed to further inspection
C000198,Saudi Arabia,Wheat,40,26978,Crowley Maritime,198,0.4,0.05,0.17,0.033,0.218,Store to ship
C000199,Australia,Iron Ore,45,29308,Emirates Shipping Line,258,0.6,0.023,0.64,0.034,0.368,Proceed to further inspection
C000200,Vietnam,Petroleum Products,48,32457,COSCO Shipping,193,0.4,0.048,0.84,0.032,0.321,Proceed to further inspection
C000201,Qatar,Automobile Parts,48,32835,Hapag-Lloyd,185,0.4,0.035,0.31,0.028,0.234,Store to ship
C000202,Taiwan,Timber,45,29221,COSCO Shipping,171,0.4,0.032,0.29,0.032,0.231,Store to ship
C000203,Egypt,Chemicals,48,32322,SM Line,328,0.8,0.044,0.71,0.036,0.473,Proceed to further inspection
C000204,France,Sand,53,33860,Maersk,140,0.4,0.024,0.42,0.025,0.248,Store to ship
C000205,Peru,Lithium Batteries,45,29155,Global Ocean Logistics,105,0.4,0.041,0.82,0.04,0.316,Proceed to further inspection
C000206,Kenya,Glass,20,21668,Maersk,59,0.07,0.049,0.24,0.025,0.085,Store to ship
C000207,Malaysia,Solvents,48,32767,OOCL,117,0.4,0.073,0.78,0.028,0.319,Proceed to further inspection
C000208,Hong Kong,Textiles,45,28989,K Line,61,0.07,0.03,0.2,0.029,0.073,Store to ship
C000209,Philippines,Fruits,45,28739,Sinokor Merchant Marine,311,0.8,0.043,0.15,0.036,0.386,Proceed to further inspection
C000210,Singapore,Solvents,53,33758,Evergreen Marine,242,0.6,0.02,0.78,0.029,0.389,Proceed to further inspection
C000211,Japan,Garments,40,26388,Nippon Yusen Kaisha (NYK),392,0.8,0.025,0.17,0.029,0.383,Proceed to further inspection
C000212,Belgium,Garments,53,33867,Nippon Yusen Kaisha (NYK),133,0.4,0.023,0.17,0.029,0.209,Store to ship
C000213,Sweden,Food Products,53,33817,APL,183,0.4,0.02,0.16,0.031,0.207,Store to ship
C000214,Egypt,Food Products,53,33668,Black Sea Shipping,332,0.8,0.044,0.16,0.055,0.39,Proceed to further inspection
C000215,Vietnam,Vaccines,48,32933,X-Press Feeders,283,0.6,0.048,0.19,0.036,0.307,Proceed to further inspection
C000216,Bangladesh,Tea,45,29190,PIL (Pacific International Lines),140,0.4,0.07,0.17,0.034,0.225,Store to ship
C000217,South Korea,Paint,45,28784,Syrian Shipping Lines,266,0.6,0.028,0.41,0.075,0.338,Proceed to further inspection
C000218,Norway,Batteries,45,28771,Unifeeder,279,0.6,0.02,0.68,0.034,0.374,Proceed to further inspection
C000219,Saudi Arabia,Computers,48,32858,Emirates Shipping Line,208,0.6,0.05,0.26,0.034,0.319,Proceed to further inspection
C000220,Canada,Corn,48,32814,Sinokor Merchant Marine,164,0.4,0.024,0.16,0.036,0.209,Store to ship
C000221,Poland,Marble,45,29272,Iran Shipping Lines,222,0.6,0.029,0.28,0.07,0.318,Proceed to further inspection
C000222,Belgium,Aluminum,48,32830,SITC International,180,0.4,0.023,0.33,0.038,0.235,Store to ship
C000223,Australia,Iron Ore,53,33934,K Line,66,0.07,0.023,0.64,0.029,0.139,Store to ship
C000224,United Kingdom,Wind Turbine Parts,40,26462,Hamburg Süd,318,0.8,0.025,0.31,0.03,0.404,Proceed to further inspection
C000225,Turkey,Vehicles,53,33839,North Korea Shipping Corporation,161,0.4,0.055,0.36,0.085,0.254,Store to ship
C000226,Denmark,Footwear,53,33851,APL,149,0.4,0.02,0.19,0.031,0.211,Store to ship
C000227,Peru,Marble,45,29298,COSCO Shipping,248,0.6,0.041,0.28,0.032,0.319,Proceed to further inspection
C000228,Kenya,Paper,45,28965,Hamburg Süd,85,0.07,0.049,0.21,0.03,0.081,Store to ship
C000229,Japan,Fertilizer,53,33743,Hamburg Süd,257,0.6,0.025,0.46,0.03,0.341,Proceed to further inspection
